event_name,bib_number,age,gender,finish_time,pace
Snowdrop 55 Hour Ultra,96,53,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,97,59,M,3300,33.9855818743563
Snowdrop 55 Hour Ultra,98,36,F,3300,42.9128738621586
Snowdrop 55 Hour Ultra,99,38,F,3300,42.9128738621586
Snowdrop 55 Hour Ultra,100,29,F,3300,46.5444287729196
Snowdrop 55 Hour Ultra,101,29,F,3300,49.1071428571429
Snowdrop 55 Hour Ultra,102,59,F,3300,51.9685039370079
Snowdrop 55 Hour Ultra,103,45,F,3300,53.2258064516129
Snowdrop 55 Hour Ultra,104,33,M,3300,53.2258064516129
Snowdrop 55 Hour Ultra,105,41,F,3300,53.2258064516129
Snowdrop 55 Hour Ultra,106,44,F,3300,55.2763819095477
Snowdrop 55 Hour Ultra,107,31,M,3300,55.9322033898305
Snowdrop 55 Hour Ultra,108,36,F,3300,63.0975143403442
Snowdrop 55 Hour Ultra,109,32,M,3300,64.9606299212599
Snowdrop 55 Hour Ultra,110,31,M,3300,66
Snowdrop 55 Hour Ultra,111,46,F,3300,66
Snowdrop 55 Hour Ultra,112,63,M,3300,66
Snowdrop 55 Hour Ultra,113,28,M,3300,69.0376569037657
Snowdrop 55 Hour Ultra,114,38,M,3300,72.5274725274725
Snowdrop 55 Hour Ultra,115,80,M,3300,72.5274725274725
Snowdrop 55 Hour Ultra,116,29,M,3300,73.6607142857143
Snowdrop 55 Hour Ultra,117,38,F,3300,77.4647887323944
Snowdrop 55 Hour Ultra,118,45,F,3300,78.9473684210526
Snowdrop 55 Hour Ultra,119,55,F,3300,78.9473684210526
Snowdrop 55 Hour Ultra,120,50,M,3300,80.2919708029197
Snowdrop 55 Hour Ultra,121,31,M,3300,92.1787709497207
Snowdrop 55 Hour Ultra,122,54,M,3300,92.1787709497207
Snowdrop 55 Hour Ultra,123,51,M,3300,105.095541401274
Snowdrop 55 Hour Ultra,124,31,F,3300,107.843137254902
Snowdrop 55 Hour Ultra,125,46,M,3300,107.843137254902
Snowdrop 55 Hour Ultra,126,48,M,3300,122.676579925651
Snowdrop 55 Hour Ultra,127,24,F,3300,129.92125984252
Snowdrop 55 Hour Ultra,128,57,F,3300,134.146341463415
Snowdrop 55 Hour Ultra,129,48,M,3300,138.075313807531
Snowdrop 55 Hour Ultra,130,40,M,3300,157.894736842105
Snowdrop 55 Hour Ultra,131,70,M,3300,246.268656716418
Snowdrop 55 Hour Ultra,132,35,F,3300,246.268656716418
Snowdrop 55 Hour Ultra,133,59,F,3300,1100
